# EUC-JP.TXT
# Generated from JIS0208.TXT (JIS X 0208) and JIS0201.TXT (half-width katakana)
# EUC-JP encoding: JIS X 0208 row/col | 0x80, SS2+byte for half-kana
# Format: 0xNATIVE  0xUNICODE  # source
#
0xA7E2	0x0440	# JIS 0x2762
0xA7E3	0x0441	# JIS 0x2763
0xA7E4	0x0442	# JIS 0x2764
0xA7E5	0x0443	# JIS 0x2765
0xA7E6	0x0444	# JIS 0x2766
0xA7E7	0x0445	# JIS 0x2767
0xA7E8	0x0446	# JIS 0x2768
0xA7E9	0x0447	# JIS 0x2769
0xA7EA	0x0448	# JIS 0x276A
0xA7EB	0x0449	# JIS 0x276B
0xA7EC	0x044A	# JIS 0x276C
0xA7ED	0x044B	# JIS 0x276D
0xA7EE	0x044C	# JIS 0x276E
0xA7EF	0x044D	# JIS 0x276F
0xA7F0	0x044E	# JIS 0x2770
0xA7F1	0x044F	# JIS 0x2771
0xA8A1	0x2500	# JIS 0x2821
0xA8A2	0x2502	# JIS 0x2822
0xA8A3	0x250C	# JIS 0x2823
0xA8A4	0x2510	# JIS 0x2824
0xA8A5	0x2518	# JIS 0x2825
0xA8A6	0x2514	# JIS 0x2826
0xA8A7	0x251C	# JIS 0x2827
0xA8A8	0x252C	# JIS 0x2828
0xA8A9	0x2524	# JIS 0x2829
0xA8AA	0x2534	# JIS 0x282A
0xA8AB	0x253C	# JIS 0x282B
0xA8AC	0x2501	# JIS 0x282C
0xA8AD	0x2503	# JIS 0x282D
0xA8AE	0x250F	# JIS 0x282E
0xA8AF	0x2513	# JIS 0x282F
0xA8B0	0x251B	# JIS 0x2830
0xA8B1	0x2517	# JIS 0x2831
0xA8B2	0x2523	# JIS 0x2832
0xA8B3	0x2533	# JIS 0x2833
0xA8B4	0x252B	# JIS 0x2834
0xA8B5	0x253B	# JIS 0x2835
0xA8B6	0x254B	# JIS 0x2836
0xA8B7	0x2520	# JIS 0x2837
0xA8B8	0x252F	# JIS 0x2838
0xA8B9	0x2528	# JIS 0x2839
0xA8BA	0x2537	# JIS 0x283A
0xA8BB	0x253F	# JIS 0x283B
0xA8BC	0x251D	# JIS 0x283C
0xA8BD	0x2530	# JIS 0x283D
0xA8BE	0x2525	# JIS 0x283E
0xA8BF	0x2538	# JIS 0x283F
0xA8C0	0x2542	# JIS 0x2840
0xB0A1	0x4E9C	# JIS 0x3021
0xB0A2	0x5516	# JIS 0x3022
0xB0A3	0x5A03	# JIS 0x3023
0xB0A4	0x963F	# JIS 0x3024
0xB0A5	0x54C0	# JIS 0x3025
0xB0A6	0x611B	# JIS 0x3026
0xB0A7	0x6328	# JIS 0x3027
0xB0A8	0x59F6	# JIS 0x3028
0xB0A9	0x9022	# JIS 0x3029
